功能模块	Aegis Vault 能力
一、CUSTODY（托管）	
Wallet Address（钱包地址管理）	✅ 多链 / 多币种冷热分离地址生成✅ 地址查询、标签管理、白名单绑定
Bank Account（银行账户管理）	✅ 对接银行账户体系✅ 多币种账户绑定、资金映射、余额查询
Whitelist（白名单管理）	✅ 提币 / 划转地址白名单✅ 多级审批（新增 / 修改 / 删除）
Pending Approval（待审批事项）	✅ 集中展示待审核操作✅ 审批状态跟踪、详情查看、驳回 / 通过
History（历史记录查询）	✅ 全量操作 / 交易 / 审批历史✅ 多维度筛选查询
---	---
二、TRANSACTION（交易）	
Deposit（入金 / 存币）	✅ 数字资产（链上划转）+ 法币（银行转账）入金✅ 自动核验交易确认数、到账凭证、入账登记
Withdrawal（出金 / 提币）	✅ 数字资产（热钱包小额 / 冷钱包大额）+ 法币出金✅ 指令审核、白名单校验、大额 MCP 多签
---	---
三、CUSTODIAL STAKING（托管质押）	
Delegation（委托质押）	✅ 数字资产委托质押至指定节点 / 池✅ 质押状态管理、收益分配、解锁流程
Liquid Staking（流动性质押）	✅ 质押资产转换为 stToken✅ 随时赎回、收益自动结算
---	---
四、EXECUTION（执行）	
Execution Provider（执行服务商）	✅ 对接第三方交易执行服务商✅ 交易路由、撮合、清算、自动化执行
Fiat On-Ramp（法币入金通道）	✅ 法币兑换数字资产（银行转账 / 信用卡）✅ KYC/AML 核验、结算、入账
Fiat Off-Ramp（法币出金通道）	✅ 数字资产兑换法币（提现至银行账户）✅ 资产划转、结算、反洗钱审核
---	---
五、SERVICES（服务）	
Statement（对账单 / 报表）	✅ 对账单、交易明细、收益结算报表✅ 多周期生成、PDF/Excel 导出


